Unnamed: 0,Gene1,Gene2
1,gene1,gene686
2,gene1,gene805
3,gene3,gene686
4,gene3,gene805
5,gene4,gene686
6,gene4,gene1006
7,gene5,gene686
8,gene5,gene1006
9,gene6,gene686
10,gene6,gene805
11,gene7,gene686
12,gene8,gene686
13,gene9,gene686
14,gene10,gene2
15,gene11,gene2
16,gene12,gene1006
17,gene12,gene2
18,gene13,gene686
19,gene14,gene686
20,gene15,gene805
21,gene16,gene805
22,gene17,gene686
23,gene18,gene408
24,gene18,gene805
25,gene19,gene1006
26,gene20,gene686
27,gene21,gene232
28,gene21,gene1006
29,gene22,gene232
30,gene22,gene1006
31,gene23,gene408
32,gene24,gene232
33,gene25,gene232
34,gene26,gene232
35,gene27,gene232
36,gene28,gene232
37,gene29,gene686
38,gene30,gene232
39,gene31,gene408
40,gene32,gene408
41,gene33,gene805
42,gene34,gene408
43,gene35,gene2
44,gene36,gene686
45,gene37,gene232
46,gene38,gene232
47,gene39,gene408
48,gene39,gene686
49,gene40,gene408
50,gene40,gene686
51,gene41,gene408
52,gene41,gene686
53,gene42,gene232
54,gene43,gene1006
55,gene44,gene1006
56,gene45,gene1006
57,gene46,gene1006
58,gene47,gene1006
59,gene48,gene1006
60,gene49,gene1006
61,gene50,gene1006
62,gene51,gene686
63,gene52,gene2
64,gene53,gene2
65,gene54,gene2
66,gene55,gene2
67,gene56,gene2
68,gene57,gene2
69,gene58,gene2
70,gene59,gene2
71,gene60,gene2
72,gene61,gene686
73,gene62,gene232
74,gene63,gene2
75,gene64,gene232
76,gene65,gene232
77,gene66,gene232
78,gene67,gene232
79,gene68,gene1006
80,gene69,gene1006
81,gene70,gene1006
82,gene71,gene1006
83,gene72,gene1006
84,gene73,gene686
85,gene73,gene1006
86,gene74,gene2
87,gene75,gene2
88,gene76,gene2
89,gene77,gene2
90,gene78,gene2
91,gene79,gene2
92,gene80,gene232
93,gene81,gene2
94,gene82,gene2
95,gene83,gene686
96,gene84,gene232
97,gene85,gene232
98,gene85,gene408
99,gene86,gene2
100,gene87,gene2
101,gene88,gene2
102,gene89,gene2
103,gene90,gene2
104,gene91,gene805
105,gene92,gene805
106,gene93,gene805
107,gene94,gene805
108,gene95,gene1006
109,gene96,gene1006
110,gene97,gene1006
111,gene98,gene686
112,gene99,gene686
113,gene100,gene1006
114,gene101,gene686
115,gene102,gene686
116,gene103,gene686
117,gene104,gene686
118,gene105,gene232
119,gene106,gene232
120,gene107,gene232
121,gene108,gene232
122,gene109,gene232
123,gene109,gene1006
124,gene110,gene2
125,gene111,gene686
126,gene111,gene2
127,gene111,gene232
128,gene112,gene686
129,gene112,gene2
130,gene112,gene232
131,gene113,gene686
132,gene114,gene686
133,gene114,gene805
134,gene115,gene686
135,gene115,gene805
136,gene116,gene686
137,gene116,gene805
138,gene117,gene686
139,gene117,gene805
140,gene118,gene686
141,gene118,gene805
142,gene119,gene686
143,gene120,gene686
144,gene120,gene805
145,gene121,gene2
146,gene121,gene805
147,gene122,gene2
148,gene122,gene805
149,gene123,gene1006
150,gene124,gene686
151,gene124,gene805
152,gene125,gene686
153,gene125,gene805
154,gene126,gene686
155,gene126,gene805
156,gene127,gene686
157,gene127,gene805
158,gene128,gene686
159,gene128,gene805
160,gene129,gene686
161,gene129,gene805
162,gene130,gene686
163,gene130,gene805
164,gene131,gene686
165,gene131,gene805
166,gene132,gene408
167,gene132,gene1006
168,gene133,gene1006
169,gene134,gene1006
170,gene135,gene1006
171,gene136,gene1006
172,gene137,gene1006
173,gene138,gene1006
174,gene139,gene1006
175,gene140,gene686
176,gene141,gene686
177,gene142,gene1006
178,gene143,gene686
179,gene144,gene686
180,gene145,gene232
181,gene146,gene232
182,gene147,gene232
183,gene148,gene2
184,gene149,gene2
185,gene150,gene805
186,gene151,gene1006
187,gene152,gene1006
188,gene153,gene686
189,gene154,gene1006
190,gene155,gene1006
191,gene156,gene1006
192,gene157,gene1006
193,gene158,gene1006
194,gene159,gene1006
195,gene160,gene1006
196,gene161,gene232
197,gene162,gene232
198,gene163,gene232
199,gene164,gene232
200,gene165,gene805
201,gene166,gene2
202,gene167,gene686
203,gene168,gene686
204,gene169,gene686
205,gene170,gene686
206,gene171,gene686
207,gene172,gene686
208,gene173,gene686
209,gene174,gene686
210,gene175,gene686
211,gene176,gene1006
212,gene177,gene1006
213,gene178,gene1006
214,gene179,gene686
215,gene179,gene805
216,gene180,gene1006
217,gene180,gene805
218,gene181,gene1006
219,gene181,gene805
220,gene182,gene1006
221,gene182,gene805
222,gene183,gene1006
223,gene184,gene1006
224,gene185,gene1006
225,gene186,gene1006
226,gene187,gene1006
227,gene188,gene1006
228,gene189,gene408
229,gene190,gene232
230,gene191,gene232
231,gene192,gene232
232,gene193,gene686
233,gene194,gene2
234,gene195,gene686
235,gene196,gene686
236,gene197,gene686
237,gene198,gene805
238,gene198,gene2
239,gene199,gene686
240,gene200,gene686
241,gene201,gene2
242,gene202,gene2
243,gene203,gene2
244,gene204,gene2
245,gene205,gene2
246,gene206,gene2
247,gene207,gene1006
248,gene208,gene408
249,gene208,gene805
250,gene209,gene408
251,gene209,gene805
252,gene210,gene408
253,gene210,gene805
254,gene211,gene408
255,gene211,gene805
256,gene213,gene1006
257,gene214,gene686
258,gene214,gene805
259,gene215,gene686
260,gene215,gene805
261,gene216,gene686
262,gene216,gene805
263,gene217,gene686
264,gene218,gene232
265,gene219,gene232
266,gene220,gene686
267,gene220,gene805
268,gene221,gene686
269,gene221,gene805
270,gene222,gene686
271,gene222,gene805
272,gene223,gene686
273,gene223,gene805
274,gene224,gene686
275,gene224,gene805
276,gene225,gene805
277,gene225,gene1006
278,gene226,gene1006
279,gene227,gene1006
280,gene228,gene1006
281,gene229,gene805
282,gene230,gene1006
283,gene231,gene805
284,gene233,gene686
285,gene233,gene1006
286,gene234,gene686
287,gene234,gene1006
288,gene235,gene2
289,gene236,gene2
290,gene237,gene2
291,gene237,gene686
292,gene238,gene2
293,gene238,gene686
294,gene239,gene686
295,gene240,gene686
296,gene241,gene805
297,gene242,gene686
298,gene243,gene1006
299,gene244,gene2
300,gene245,gene1006
301,gene246,gene408
302,gene247,gene408
303,gene248,gene1006
304,gene249,gene408
305,gene250,gene408
306,gene251,gene408
307,gene252,gene408
308,gene253,gene408
309,gene254,gene408
310,gene255,gene408
311,gene255,gene2
312,gene256,gene686
313,gene257,gene686
314,gene257,gene805
315,gene258,gene686
316,gene258,gene805
317,gene259,gene686
318,gene259,gene805
319,gene260,gene686
320,gene260,gene805
321,gene261,gene408
322,gene262,gene408
323,gene263,gene408
324,gene264,gene408
325,gene265,gene408
326,gene266,gene686
327,gene267,gene686
328,gene268,gene2
329,gene269,gene686
330,gene270,gene686
331,gene271,gene686
332,gene271,gene805
333,gene271,gene1006
334,gene272,gene1006
335,gene273,gene805
336,gene274,gene805
337,gene274,gene1006
338,gene274,gene408
339,gene275,gene805
340,gene276,gene805
341,gene277,gene408
342,gene278,gene805
343,gene279,gene805
344,gene280,gene805
345,gene281,gene805
346,gene282,gene805
347,gene283,gene686
348,gene284,gene686
349,gene285,gene686
350,gene286,gene686
351,gene287,gene2
352,gene288,gene2
353,gene289,gene1006
354,gene290,gene2
355,gene290,gene232
356,gene291,gene1006
357,gene292,gene1006
358,gene293,gene1006
359,gene294,gene232
360,gene295,gene686
361,gene295,gene805
362,gene296,gene686
363,gene297,gene805
364,gene297,gene1006
365,gene298,gene232
366,gene299,gene2
367,gene300,gene2
368,gene301,gene686
369,gene302,gene686
370,gene303,gene686
371,gene304,gene686
372,gene305,gene686
373,gene306,gene686
374,gene307,gene686
375,gene308,gene232
376,gene309,gene1006
377,gene310,gene1006
378,gene311,gene1006
379,gene312,gene1006
380,gene313,gene686
381,gene314,gene686
382,gene315,gene2
383,gene316,gene232
384,gene317,gene232
385,gene318,gene232
386,gene319,gene686
387,gene319,gene2
388,gene320,gene232
389,gene320,gene2
390,gene321,gene232
391,gene321,gene2
392,gene322,gene2
393,gene323,gene686
394,gene323,gene2
395,gene324,gene686
396,gene324,gene2
397,gene325,gene2
398,gene326,gene686
399,gene327,gene686
400,gene328,gene686
401,gene329,gene686
402,gene329,gene1006
403,gene330,gene686
404,gene331,gene686
405,gene332,gene686
406,gene333,gene408
407,gene334,gene408
408,gene334,gene686
409,gene335,gene408
410,gene335,gene686
411,gene336,gene408
412,gene336,gene686
413,gene337,gene408
414,gene337,gene686
415,gene338,gene686
416,gene339,gene686
417,gene340,gene686
418,gene341,gene686
419,gene342,gene686
420,gene343,gene686
421,gene344,gene805
422,gene346,gene686
423,gene346,gene2
424,gene347,gene686
425,gene347,gene2
426,gene348,gene686
427,gene348,gene2
428,gene349,gene2
429,gene350,gene805
430,gene351,gene805
431,gene352,gene232
432,gene353,gene805
433,gene354,gene805
434,gene355,gene805
435,gene356,gene805
436,gene357,gene686
437,gene358,gene1006
438,gene359,gene1006
439,gene360,gene805
440,gene361,gene232
441,gene361,gene2
442,gene362,gene2
443,gene363,gene232
444,gene364,gene805
445,gene365,gene2
446,gene366,gene232
447,gene366,gene2
448,gene367,gene805
449,gene368,gene805
450,gene369,gene232
451,gene370,gene232
452,gene371,gene232
453,gene372,gene232
454,gene373,gene686
455,gene374,gene686
456,gene375,gene686
457,gene376,gene686
458,gene377,gene686
459,gene378,gene686
460,gene379,gene686
461,gene379,gene805
462,gene380,gene686
463,gene380,gene805
464,gene381,gene686
465,gene382,gene805
466,gene383,gene2
467,gene383,gene686
468,gene383,gene805
469,gene384,gene2
470,gene384,gene686
471,gene384,gene805
472,gene385,gene2
473,gene385,gene686
474,gene385,gene805
475,gene386,gene232
476,gene387,gene232
477,gene388,gene232
478,gene389,gene232
479,gene390,gene232
480,gene391,gene2
481,gene392,gene232
482,gene393,gene232
483,gene394,gene2
484,gene395,gene2
485,gene396,gene1006
486,gene397,gene1006
487,gene398,gene1006
488,gene399,gene1006
489,gene400,gene1006
490,gene401,gene1006
491,gene402,gene1006
492,gene403,gene1006
493,gene404,gene232
494,gene405,gene232
495,gene406,gene2
496,gene407,gene2
497,gene409,gene408
498,gene410,gene408
499,gene411,gene408
500,gene412,gene232
501,gene413,gene408
502,gene413,gene232
503,gene414,gene408
504,gene415,gene232
505,gene416,gene232
506,gene417,gene686
507,gene417,gene805
508,gene417,gene1006
509,gene418,gene686
510,gene418,gene805
511,gene418,gene1006
512,gene419,gene2
513,gene420,gene2
514,gene421,gene2
515,gene421,gene232
516,gene422,gene686
517,gene422,gene805
518,gene423,gene805
519,gene424,gene1006
520,gene425,gene2
521,gene426,gene2
522,gene427,gene1006
523,gene428,gene1006
524,gene428,gene805
525,gene429,gene805
526,gene430,gene2
527,gene431,gene2
528,gene432,gene2
529,gene433,gene2
530,gene434,gene232
531,gene435,gene1006
532,gene436,gene686
533,gene437,gene686
534,gene437,gene1006
535,gene438,gene408
536,gene439,gene805
537,gene440,gene1006
538,gene441,gene805
539,gene442,gene232
540,gene443,gene232
541,gene444,gene1006
542,gene444,gene805
543,gene445,gene1006
544,gene445,gene805
545,gene446,gene1006
546,gene446,gene805
547,gene447,gene1006
548,gene447,gene805
549,gene448,gene1006
550,gene448,gene805
551,gene449,gene1006
552,gene449,gene805
553,gene450,gene686
554,gene451,gene686
555,gene452,gene686
556,gene453,gene686
557,gene454,gene686
558,gene455,gene686
559,gene456,gene686
560,gene457,gene686
561,gene458,gene805
562,gene458,gene1006
563,gene459,gene805
564,gene459,gene1006
565,gene460,gene805
566,gene460,gene1006
567,gene461,gene805
568,gene461,gene1006
569,gene462,gene805
570,gene462,gene1006
571,gene463,gene805
572,gene463,gene1006
573,gene464,gene805
574,gene464,gene1006
575,gene465,gene805
576,gene465,gene1006
577,gene466,gene805
578,gene466,gene1006
579,gene467,gene805
580,gene468,gene686
581,gene469,gene686
582,gene470,gene686
583,gene471,gene686
584,gene472,gene686
585,gene473,gene686
586,gene474,gene686
587,gene475,gene686
588,gene476,gene686
589,gene477,gene686
590,gene478,gene686
591,gene479,gene805
592,gene479,gene1006
593,gene480,gene686
594,gene480,gene805
595,gene480,gene1006
596,gene481,gene686
597,gene481,gene805
598,gene481,gene1006
599,gene482,gene686
600,gene482,gene805
601,gene482,gene1006
602,gene483,gene686
603,gene483,gene805
604,gene483,gene1006
605,gene484,gene686
606,gene485,gene805
607,gene486,gene686
608,gene487,gene408
609,gene488,gene1006
610,gene489,gene1006
611,gene490,gene1006
612,gene491,gene1006
613,gene492,gene1006
614,gene493,gene805
615,gene493,gene1006
616,gene494,gene232
617,gene495,gene232
618,gene496,gene232
619,gene497,gene805
620,gene498,gene805
621,gene499,gene805
622,gene500,gene232
623,gene501,gene232
624,gene502,gene805
625,gene503,gene805
626,gene504,gene805
627,gene505,gene2
628,gene506,gene2
629,gene507,gene1006
630,gene508,gene686
631,gene509,gene686
632,gene510,gene1006
633,gene511,gene1006
634,gene512,gene1006
635,gene513,gene1006
636,gene514,gene232
637,gene515,gene686
638,gene515,gene1006
639,gene516,gene232
640,gene517,gene232
641,gene518,gene408
642,gene519,gene408
643,gene520,gene408
644,gene521,gene408
645,gene522,gene232
646,gene523,gene232
647,gene524,gene232
648,gene525,gene232
649,gene526,gene232
650,gene527,gene232
651,gene528,gene232
652,gene529,gene232
653,gene530,gene232
654,gene531,gene232
655,gene532,gene232
656,gene533,gene232
657,gene534,gene232
658,gene535,gene232
659,gene536,gene232
660,gene537,gene232
661,gene538,gene232
662,gene539,gene232
663,gene540,gene232
664,gene541,gene686
665,gene542,gene686
666,gene543,gene686
667,gene544,gene2
668,gene545,gene686
669,gene546,gene1006
670,gene547,gene1006
671,gene548,gene1006
672,gene549,gene232
673,gene550,gene232
674,gene551,gene232
675,gene552,gene232
676,gene553,gene805
677,gene554,gene232
678,gene554,gene408
679,gene555,gene232
