Gene1,Gene2
gene16,gene10
gene29,gene10
gene62,gene10
gene55,gene10
gene81,gene80
gene73,gene80
gene73,gene6
gene87,gene80
gene95,gene80
gene47,gene19
gene90,gene80
gene96,gene80
gene93,gene80
gene64,gene80
gene64,gene19
gene48,gene80
gene48,gene19
gene57,gene80
gene57,gene19
gene65,gene80
gene65,gene19
gene40,gene80
gene40,gene19
gene46,gene10
gene39,gene10
gene63,gene10
gene42,gene10
gene28,gene6
gene86,gene80
gene86,gene2
gene50,gene10
gene20,gene19
gene23,gene19
gene75,gene19
gene25,gene19
gene21,gene19
gene34,gene19
gene100,gene10
gene100,gene91
gene94,gene10
gene94,gene91
gene22,gene10
gene22,gene91
gene82,gene10
gene82,gene91
gene12,gene10
gene12,gene91
gene12,gene6
gene4,gene2
gene89,gene2
gene84,gene80
gene84,gene19
gene77,gene80
gene77,gene19
gene70,gene10
gene72,gene10
gene15,gene10
gene41,gene10
gene67,gene10
gene35,gene10
gene52,gene10
gene24,gene10
gene85,gene10
gene56,gene10
gene98,gene10
gene45,gene6
gene76,gene6
gene3,gene2
gene78,gene2
gene88,gene6
gene36,gene6
gene61,gene19
gene32,gene19
gene99,gene19
gene51,gene19
gene58,gene6
gene74,gene6
gene59,gene10
gene49,gene10
gene17,gene10
gene97,gene10
gene38,gene10
gene92,gene10
gene69,gene10
gene53,gene10
gene13,gene10
gene66,gene10
gene60,gene6
gene1,gene10
gene1,gene19
gene1,gene6
gene1,gene2
gene8,gene10
gene8,gene19
gene8,gene6
gene8,gene2
gene54,gene10
gene54,gene19
gene54,gene6
gene54,gene2
gene37,gene10
gene37,gene19
gene37,gene6
gene37,gene2
gene9,gene10
gene9,gene19
gene9,gene6
gene9,gene2
gene7,gene10
gene7,gene19
gene7,gene6
gene7,gene2
gene5,gene10
gene5,gene19
gene5,gene6
gene5,gene2
gene68,gene6
gene44,gene10
gene79,gene10
gene83,gene6
gene18,gene10
gene71,gene10
gene30,gene6
gene11,gene10
gene26,gene19
gene33,gene19
gene43,gene19
gene27,gene19
gene31,gene19
gene14,gene6
